X,Y
700,9976.530
701,9973.784
702,9971.017
703,9966.794
704,9964.007
705,9960.395
706,9957.884
707,9955.545
708,9952.997
709,9950.505
710,9947.581
711,9945.194
712,9941.878
713,9938.872
714,9935.609
715,9932.867
716,9930.217
717,9927.914
718,9924.523
719,9921.618
720,9918.267
721,9915.910
722,9914.104
723,9911.566
724,9908.124
725,9905.300
726,9902.569
727,9899.276
728,9896.563
729,9894.887
730,9891.898
731,9887.769
732,9887.021
733,9882.229
734,9880.088
735,9878.403
736,9874.215
737,9872.043
738,9868.922
739,9866.843
740,9862.618
741,9862.057
742,9858.772
743,9856.360
744,9853.190
745,9851.117
746,9847.872
747,9844.851
748,9842.424
749,9839.842
750,9837.491
751,9833.609
752,9831.502
753,9829.229
754,9825.900
755,9823.203
756,9820.550
757,9817.549
758,9815.853
759,9812.866
760,9809.362
761,9806.939
762,9804.656
763,9801.064
764,9798.755
765,9795.973
766,9793.132
767,9790.824
768,9788.741
769,9786.648
770,9783.232
771,9781.188
772,9778.718
773,9775.783
774,9772.667
775,9769.283
776,9766.311
777,9764.202
778,9761.447
779,9760.472
780,9757.566
781,9754.373
782,9752.359
783,9749.221
784,9745.947
785,9744.070
786,9743.167
787,9739.888
788,9736.258
789,9734.616
790,9730.965
791,9729.015
792,9726.512
793,9724.479
794,9721.545
795,9717.796
796,9716.721
797,9714.198
798,9710.731
799,9708.641
800,9706.484
801,9703.257
802,9699.786
803,9699.039
804,9695.559
805,9693.946
806,9690.850
807,9688.887
808,9685.095
809,9682.708
810,9679.781
811,9678.568
812,9675.917
813,9672.576
814,9671.340
815,9667.814
816,9665.337
817,9662.967
818,9661.306
819,9657.243
820,9654.683
821,9654.128
822,9651.818
823,9648.699
824,9646.727
825,9643.645
826,9640.989
827,9640.366
828,9637.387
829,9633.496
830,9632.154
831,9629.816
832,9628.115
833,9625.529
834,9622.934
835,9620.193
836,9618.132
837,9615.237
838,9614.075
839,9610.738
840,9608.253
841,9606.825
842,9603.311
843,9601.264
844,9599.125
845,9596.344
846,9594.463
847,9591.968
848,9589.608
849,9587.266
850,9584.579
851,9582.851
852,9580.079
853,9577.972
854,9576.210
855,9573.427
856,9570.269
857,9568.977
858,9567.537
859,9564.069
860,9561.119
861,9560.485
862,9557.560
863,9554.364
864,9552.995
865,9551.356
866,9547.596
867,9545.245
868,9543.215
869,9540.586
870,9538.463
871,9537.273
872,9533.843
873,9531.326
874,9529.446
875,9526.490
876,9524.343
877,9521.906
878,9519.321
879,9517.166
880,9515.664
881,9512.674
882,9510.890
883,9508.870
884,9506.113
885,9503.773
886,9501.878
887,9499.884
888,9497.030
889,9495.141
890,9493.246
891,9489.930
892,9487.794
893,9486.476
894,9482.070
895,9480.997
896,9478.427
897,9476.484
898,9474.688
899,9472.271
900,9470.277
901,9467.473
902,9465.013
903,9463.229
904,9460.925
905,9458.487
906,9457.805
907,9455.457
908,9452.511
909,9450.354
910,9448.614
911,9445.634
912,9443.349
913,9441.591
914,9438.876
915,9437.148
916,9434.678
917,9432.505
918,9429.231
919,9427.454
920,9425.315
921,9423.442
922,9420.647
923,9418.935
924,9416.793
925,9414.629
926,9413.438
927,9410.651
928,9408.582
929,9406.505
930,9403.784
931,9401.240
932,9399.656
933,9397.135
934,9396.065
935,9393.298
936,9390.895
937,9388.688
938,9387.186
939,9384.616
940,9381.900
941,9378.758
942,9377.370
943,9376.378
944,9372.410
945,9370.100
946,9368.391
947,9366.622
948,9363.275
949,9361.333
950,9360.983
951,9358.250
952,9356.234
953,9352.972
954,9352.296
955,9349.787
956,9347.365
957,9346.848
958,9343.519
959,9342.021
960,9339.377
961,9338.384
962,9335.123
963,9332.475
964,9331.041
965,9328.749
966,9327.521
967,9324.919
968,9324.066
969,9321.095
970,9318.729
971,9317.635
972,9314.246
973,9312.400
974,9310.825
975,9307.763
976,9306.005
977,9304.353
978,9301.830
979,9299.142
980,9297.810
981,9295.782
982,9294.569
983,9292.628
984,9289.596
985,9289.196
986,9285.977
987,9283.669
988,9283.582
989,9280.977
990,9277.496
991,9275.570
992,9273.191
993,9272.199
994,9269.681
995,9268.005
996,9265.355
997,9263.805
998,9260.906
999,9258.552
1000,9257.025
1001,9255.083
1002,9252.918
1003,9250.611
1004,9248.258
1005,9246.850
1006,9244.897
1007,9242.847
1008,9240.186
1009,9237.311
1010,9236.533
1011,9233.818
1012,9232.795
1013,9229.933
1014,9227.486
1015,9225.735
1016,9223.675
1017,9221.121
1018,9218.553
1019,9217.330
1020,9216.197
1021,9213.839
1022,9211.491
1023,9209.668
1024,9208.333
1025,9205.088
1026,9203.568
1027,9201.237
1028,9199.770
1029,9198.180
1030,9195.633
1031,9194.778
1032,9191.484
1033,9189.221
1034,9186.439
1035,9185.167
1036,9184.192
1037,9181.314
1038,9179.081
1039,9176.706
1040,9175.548
1041,9174.268
1042,9171.548
1043,9169.773
1044,9167.850
1045,9165.492
1046,9163.456
1047,9161.829
1048,9158.294
1049,9156.972
1050,9155.284
1051,9153.810
1052,9151.726
1053,9149.688
1054,9148.385
1055,9145.241
1056,9144.286
1057,9141.893
1058,9140.400
1059,9138.565
1060,9137.688
1061,9134.842
1062,9131.786
1063,9130.762
1064,9128.641
1065,9127.166
1066,9126.108
1067,9122.725
1068,9121.183
