X,Y
1549,8317.383
1550,8315.769
1551,8315.197
1552,8314.074
1553,8312.757
1554,8311.079
1555,8310.627
1556,8309.411
1557,8307.387
1558,8305.976
1559,8304.390
1560,8303.586
1561,8301.611
1562,8301.997
1563,8299.230
1564,8299.023
1565,8297.188
1566,8295.438
1567,8294.275
1568,8293.491
1569,8292.062
1570,8291.385
1571,8289.090
1572,8288.515
1573,8287.784
1574,8285.963
1575,8284.024
1576,8283.386
1577,8282.434
1578,8280.571
1579,8279.589
1580,8278.446
1581,8277.246
1582,8275.447
1583,8273.695
1584,8273.683
1585,8271.531
1586,8270.212
1587,8270.135
1588,8268.832
1589,8266.518
1590,8265.676
1591,8264.201
1592,8262.720
1593,8262.127
1594,8260.566
1595,8259.779
1596,8258.490
1597,8256.474
1598,8255.564
1599,8253.757
1600,8253.574
1601,8252.348
1602,8251.269
1603,8249.898
1604,8248.261
1605,8247.171
1606,8246.051
1607,8244.026
1608,8243.161
1609,8241.964
1610,8241.057
1611,8239.684
1612,8238.632
1613,8236.729
1614,8235.113
1615,8235.359
1616,8233.557
1617,8232.021
1618,8232.449
1619,8230.743
1620,8228.595
1621,8227.462
1622,8226.002
1623,8224.695
1624,8223.148
1625,8222.898
1626,8221.888
1627,8220.539
1628,8219.402
1629,8217.590
1630,8216.588
1631,8214.860
1632,8214.723
1633,8212.340
1634,8211.028
1635,8208.897
1636,8208.941
1637,8207.528
1638,8206.570
1639,8205.493
1640,8203.436
1641,8202.736
1642,8201.785
1643,8199.875
1644,8198.994
1645,8196.828
1646,8196.009
1647,8195.016
1648,8193.070
1649,8193.116
1650,8190.993
1651,8190.848
1652,8189.252
1653,8188.194
1654,8186.119
1655,8184.824
1656,8183.771
1657,8182.882
1658,8179.833
1659,8180.680
1660,8178.982
1661,8176.972
1662,8176.303
1663,8175.421
1664,8173.262
1665,8172.153
1666,8171.276
1667,8170.020
1668,8168.681
1669,8167.326
1670,8166.211
1671,8165.087
1672,8163.922
1673,8162.551
1674,8160.921
1675,8159.638
1676,8157.879
1677,8157.452
1678,8156.740
1679,8155.682
1680,8153.713
1681,8152.286
1682,8151.313
1683,8149.755
1684,8148.698
1685,8147.208
1686,8146.747
1687,8145.315
1688,8143.818
1689,8141.909
1690,8141.673
1691,8139.903
1692,8138.583
1693,8136.924
1694,8135.842
1695,8135.346
1696,8133.045
1697,8132.376
1698,8131.488
1699,8130.439
1700,8128.694
1701,8128.014
1702,8126.923
1703,8125.000
1704,8124.404
1705,8123.057
1706,8122.522
1707,8119.970
1708,8119.157
1709,8117.927
1710,8116.684
1711,8114.266
1712,8114.543
1713,8113.025
1714,8111.827
1715,8110.682
1716,8109.566
1717,8108.262
1718,8107.009
1719,8106.065
1720,8104.582
1721,8103.106
1722,8102.262
1723,8101.112
1724,8100.353
1725,8098.923
1726,8098.478
1727,8096.744
1728,8095.373
1729,8093.954
1730,8093.618
1731,8092.217
1732,8089.708
1733,8089.566
1734,8088.263
1735,8087.419
1736,8085.457
1737,8085.196
1738,8084.716
1739,8083.484
1740,8081.070
1741,8079.838
1742,8079.799
1743,8077.878
1744,8077.188
1745,8075.463
1746,8074.654
1747,8073.702
1748,8071.726
1749,8070.067
1750,8069.794
1751,8068.760
1752,8067.764
1753,8065.256
1754,8065.048
1755,8063.522
1756,8062.578
1757,8061.393
1758,8060.190
1759,8058.967
1760,8058.142
1761,8057.264
1762,8056.457
1763,8054.591
1764,8053.156
1765,8053.131
1766,8050.728
1767,8049.741
1768,8050.114
1769,8048.408
1770,8046.899
1771,8046.425
1772,8044.437
1773,8043.754
1774,8043.233
1775,8041.379
1776,8040.453
1777,8039.781
1778,8038.014
1779,8036.470
1780,8034.833
1781,8034.846
1782,8033.760
1783,8032.782
1784,8030.992
1785,8030.021
1786,8028.747
1787,8027.669
1788,8026.548
1789,8025.856
1790,8025.011
1791,8023.671
1792,8021.986
1793,8021.185
1794,8020.410
1795,8018.873
1796,8017.873
1797,8016.760
1798,8015.487
1799,8013.993
1800,8012.733
1801,8011.752
1802,8012.002
1803,8010.383
1804,8009.006
1805,8006.834
1806,8007.217
1807,8005.254
1808,8005.029
1809,8004.057
1810,8002.423
1811,8001.630
1812,8000.096
1813,7998.835
1814,7997.959
1815,7996.968
1816,7996.467
1817,7995.582
1818,7995.005
1819,7993.479
1820,7991.764
1821,7990.993
1822,7990.096
1823,7988.823
1824,7987.231
1825,7986.852
1826,7985.460
1827,7984.030
1828,7983.500
1829,7982.771
1830,7981.335
1831,7979.461
1832,7979.049
1833,7977.443
1834,7975.976
1835,7975.768
1836,7974.380
1837,7973.355
1838,7973.005
1839,7972.032
1840,7969.851
1841,7968.807
1842,7968.646
1843,7967.629
1844,7966.461
1845,7965.906
1846,7964.655
1847,7963.729
1848,7961.350
1849,7961.415
1850,7959.323
1851,7957.489
1852,7957.671
1853,7956.871
1854,7954.481
1855,7954.744
1856,7952.958
1857,7951.264
1858,7950.644
1859,7950.705
1860,7948.084
1861,7947.609
1862,7946.890
1863,7945.453
1864,7943.986
1865,7943.061
1866,7942.224
1867,7940.880
1868,7940.721
1869,7939.000
1870,7938.032
1871,7937.646
1872,7936.711
